Learning Rate	Avg-Train Loss	Avg-Valid Loss	Epoch-Train Loss	Epoch-Valid Loss	
0.003340	435.347088	695.396345	464.370026	679.563721	
0.003430	432.022520	684.416356	412.586517	654.757141	
0.003520	426.593579	696.610168	406.920776	651.982605	
0.003610	427.874236	678.833654	391.687256	620.897888	
0.003700	433.426087	696.951052	464.046722	677.769409	
0.003790	438.712059	658.233782	471.923248	633.027588	
0.003880	429.641030	669.239925	471.544037	612.801880	
0.003970	432.974939	680.959486	491.437500	705.205566	
0.004060	454.258632	671.622198	447.132812	576.225769	
0.004150	443.359303	725.921080	442.090149	658.577820	
0.004240	439.055168	679.076932	464.461426	640.637512	
0.004330	443.763451	697.503650	436.326996	688.862244	
0.004420	439.472624	711.675866	423.954803	694.062012	
0.004510	432.911555	700.158678	487.282318	621.213867	
0.004600	447.936220	683.832425	439.601898	609.847900	
0.004690	445.039805	708.235948	460.512695	593.027283	
0.004780	446.263420	695.978671	457.298065	589.085876	
0.004870	434.793917	698.653220	443.868866	691.026001	
0.004960	444.003509	662.868026	447.819244	620.484131	
0.005050	443.022681	673.794609	427.070557	669.502747	
0.005140	447.542816	700.064388	429.005188	629.335266	
0.005230	433.645353	690.705100	424.550934	611.654419	
0.005320	441.344852	670.882962	419.112701	658.369507	
0.005410	436.470374	722.049631	483.864258	671.112732	
0.005500	438.904920	698.943342	418.579315	581.716614	
0.005410	439.869538	741.329891	412.544647	669.181580	
0.005320	431.299637	714.906768	422.168030	684.547791	
0.005230	421.010027	692.413220	427.282532	669.180237	
0.005140	422.344922	686.514383	365.835724	626.594177	
0.005050	423.646182	719.187132	441.038330	686.036072	
0.004960	421.359692	690.240931	416.721100	623.278748	
0.004870	421.108602	710.810026	390.263062	643.403748	
0.004780	415.721811	748.077416	404.308716	674.065552	
0.004690	413.086520	693.721390	413.842133	604.881165	
0.004600	408.423277	724.577727	407.394348	651.135681	
0.004510	412.939377	665.935713	408.704926	630.400146	
0.004420	414.402085	670.436554	405.487549	633.926880	
0.004330	408.942032	716.917447	423.910950	672.662720	
0.004240	408.751963	712.858645	418.117493	691.426697	
0.004150	404.951101	767.417717	473.694580	695.139404	
0.004060	414.850564	670.914961	429.474915	617.318420	
0.003970	400.706163	745.731591	381.934296	649.767761	
0.003880	389.785610	751.018100	402.133606	666.015625	
0.003790	391.427216	702.897122	355.717133	660.472351	
0.003700	379.485303	686.075061	362.121002	651.286499	
0.003610	379.337979	746.519338	350.112793	663.106384	
0.003520	373.181381	723.182306	361.880859	705.680115	
0.003430	368.992477	722.746795	383.873260	731.028503	
0.003340	368.871570	726.375536	383.398773	695.914429	
0.003250	370.912558	769.437856	356.505737	710.587463	
0.003160	368.915367	718.087215	396.006409	680.162231	
0.003070	364.317859	751.574599	384.634705	747.113342	
0.002980	366.391727	757.483493	349.981873	707.018127	
0.002890	358.404118	730.068444	332.267822	711.678772	
0.002800	356.351004	734.201959	395.611176	742.970276	
0.002710	359.175964	762.386396	339.508118	710.356140	
0.002620	349.643051	745.748925	333.055237	709.995789	
0.002530	344.478695	764.023790	337.723938	715.804565	
0.002440	343.029413	777.463781	351.119598	726.203857	
0.002350	339.109599	759.237618	328.511688	695.289856	
0.002260	338.821923	782.042927	364.357574	717.645691	
0.002170	343.683187	768.777592	334.446930	735.508362	
0.002080	338.595192	747.545398	315.374542	681.888184	
0.001990	333.324748	739.471567	343.695923	679.230530	
0.001900	335.252720	751.006763	322.447876	725.538391	
0.001810	329.503831	753.390223	322.646210	710.886658	
0.001720	327.043212	765.622738	329.616730	730.575012	
0.001630	322.459618	771.535806	338.446289	756.212708	
0.001540	321.651209	787.275463	318.308929	748.019409	
0.001450	318.868115	795.456104	325.346985	775.773621	
0.001360	317.937467	780.592990	307.386353	752.068298	
0.001270	316.717233	786.548426	342.479736	733.917908	
0.001180	317.194590	800.354915	303.135101	744.939392	
0.001090	310.551089	812.407882	318.200378	759.716309	
0.001000	312.363490	784.072100	342.195282	732.779602	
0.001045	309.953974	830.858810	307.797943	782.010376	
0.001090	313.529016	788.746426	316.900238	738.273865	
0.001135	309.217371	793.827074	323.897736	746.954407	
0.001180	306.589491	801.118111	293.236816	757.253357	
0.001225	306.633156	824.097225	300.020996	775.410339	
0.001270	306.535022	801.797487	299.512878	721.015930	
0.001315	308.845303	793.058830	304.899536	730.591187	
0.001360	307.884233	812.971636	310.756165	794.383484	
0.001405	305.243697	807.245781	303.069977	747.453613	
0.001450	306.608168	832.559956	305.149567	736.773926	
0.001495	308.708724	799.100214	298.813965	771.500427	
0.001540	306.568371	812.868534	301.442688	782.552856	
0.001585	305.859789	817.156675	312.774841	771.989929	
0.001630	304.371403	808.254995	300.716400	742.423889	
0.001675	308.383893	827.650570	333.807434	805.336121	
0.001720	308.819897	813.929317	310.717804	792.115906	
0.001765	310.730303	803.964403	297.920166	768.063599	
0.001810	311.409172	848.415374	298.841827	776.013489	
0.001855	306.891213	826.553683	306.824066	727.067261	
0.001900	310.673194	853.339227	315.050507	736.007996	
