Learning Rate	Avg-Train Loss	Avg-Valid Loss	Epoch-Train Loss	Epoch-Valid Loss	
0.003880	570.798710	718.022411	540.634216	733.335449	
0.003700	563.089508	731.661002	472.930328	741.060730	
0.003520	556.015178	708.655560	494.159393	682.663208	
0.003340	551.458590	710.704795	502.001129	667.594604	
0.003160	549.187928	707.943508	430.741089	668.265625	
0.002980	544.437368	707.387904	579.309814	671.102051	
0.002800	541.672820	706.899072	758.023560	680.168518	
0.002620	561.467992	709.105287	597.875549	669.396851	
0.002440	556.449759	696.510094	544.192444	628.363159	
0.002260	543.402906	735.417487	461.372437	733.336304	
0.002080	536.632301	725.644775	556.163879	683.727051	
0.001900	536.910495	710.344400	481.350708	658.186951	
0.001720	527.264080	715.204430	511.970886	694.598755	
0.001540	526.274884	719.504747	601.890076	699.429077	
0.001360	522.989858	733.909135	629.772583	700.098328	
0.001180	520.705963	744.496678	452.091156	670.630310	
0.001000	519.161935	733.994743	454.276855	665.479858	
0.001090	512.441349	736.173747	550.693359	686.096680	
0.001180	510.321619	727.934659	550.412842	661.858765	
0.001270	519.659882	726.741361	577.863281	692.526245	
0.001360	516.440554	747.660431	542.184937	739.794067	
0.001450	522.558232	708.857983	481.947693	653.514954	
0.001540	514.679427	744.996618	495.357056	702.236816	
0.001630	514.824704	730.898471	452.027039	666.786438	
0.001720	508.107736	777.591877	476.361694	770.011841	
0.001810	507.781907	756.116284	512.184204	725.163574	
0.001900	509.721138	765.546781	597.726990	669.524536	
0.001990	519.938946	795.202586	611.285889	727.536560	
0.002080	540.595030	745.284096	506.732086	656.159180	
0.002170	527.303985	739.434707	543.986206	702.116699	
0.002260	516.839176	746.245684	464.850403	735.839722	
0.002350	513.587754	763.495209	517.216248	663.068054	
0.002440	508.613283	745.120211	459.344391	644.964722	
0.002530	513.319053	757.020564	479.212952	676.091492	
0.002620	513.770607	759.723163	430.517456	646.264832	
0.002710	510.339286	763.192919	513.766541	720.738037	
0.002800	507.444518	774.134625	491.281189	692.174500	
0.002890	510.573845	784.636588	535.303589	760.175293	
0.002980	519.719702	752.554386	483.887299	691.280457	
0.003070	509.320273	801.900532	531.676453	758.963318	
0.003160	531.012293	710.042313	497.590485	583.959045	
0.003250	525.399566	782.170246	527.380615	683.813599	
0.003340	519.303781	814.640401	407.873016	650.746765	
