Learning Rate	Train Loss	Valid Loss	Train Acc.	Valid Acc.	
0.000200	0.420768	0.324473	0.812500	0.861789	
0.000200	0.452522	0.357284	0.755435	0.841463	
0.000200	0.464525	0.345711	0.777174	0.837398	
0.000200	0.391454	0.379773	0.815217	0.849593	
0.000200	0.406546	0.349931	0.798913	0.845528	
0.000200	0.397840	0.337145	0.820652	0.841463	
0.000200	0.443514	0.332750	0.785326	0.865854	
0.000200	0.414911	0.326053	0.809783	0.853659	
0.000200	0.378102	0.336088	0.812500	0.849593	
0.000200	0.364452	0.335113	0.815217	0.861789	
0.000200	0.382583	0.330586	0.820652	0.861789	
0.000200	0.336223	0.375539	0.861413	0.853659	
0.000200	0.369615	0.349339	0.828804	0.841463	
0.000200	0.396563	0.350715	0.828804	0.853659	
0.000200	0.396000	0.336576	0.798913	0.857724	
0.000200	0.391215	0.346894	0.809783	0.865854	
0.000200	0.473451	0.354317	0.774457	0.849593	
0.000200	0.370608	0.349942	0.826087	0.845528	
0.000200	0.402447	0.332699	0.817935	0.837398	
0.000200	0.397703	0.331196	0.823370	0.853659	
0.000200	0.383899	0.346756	0.842391	0.845528	
0.000200	0.410812	0.357037	0.807065	0.845528	
0.000200	0.391518	0.366795	0.817935	0.841463	
0.000200	0.396235	0.360701	0.807065	0.849593	
0.000200	0.375643	0.330940	0.828804	0.849593	
0.000200	0.366402	0.329775	0.828804	0.849593	
0.000200	0.467862	0.342466	0.777174	0.845528	
0.000200	0.376599	0.327861	0.845109	0.861789	
0.000200	0.329252	0.357887	0.845109	0.861789	
0.000200	0.377649	0.348375	0.817935	0.849593	
0.000200	0.368921	0.329296	0.834239	0.865854	
0.000200	0.405392	0.362745	0.790761	0.861789	
0.000200	0.397238	0.364097	0.820652	0.861789	
0.000200	0.441181	0.339216	0.771739	0.857724	
0.000200	0.410056	0.349731	0.804348	0.841463	
0.000200	0.405813	0.336801	0.801630	0.853659	
0.000200	0.385638	0.351605	0.817935	0.829268	
0.000200	0.397736	0.366344	0.823370	0.841463	
Best value: 0.8740
