Learning Rate	Avg-Train Loss	Avg-Valid Loss	Epoch-Train Loss	Epoch-Valid Loss	
0.002800	295.416305	349.226271	293.706146	320.658325	
0.002620	294.324743	350.178827	292.902710	310.031494	
0.002440	297.594060	354.859651	272.706909	328.777618	
0.002260	293.576957	352.576274	282.155365	313.934235	
0.002080	292.459686	353.781110	282.840424	316.967987	
0.001900	290.914201	360.060393	185.890594	316.657440	
0.001720	290.528186	354.784147	278.943481	310.532074	
0.001540	289.473160	353.836574	293.458923	310.568909	
0.001360	288.913280	354.103493	186.786835	328.881348	
0.001180	288.360014	356.617776	309.384155	338.627594	
0.001000	288.101035	348.537450	290.322388	332.608459	
0.001090	286.296631	356.940204	311.697388	327.470703	
0.001180	287.697997	355.904180	275.406921	332.243835	
0.001270	287.697142	360.997854	280.485077	339.459808	
0.001360	287.013023	359.761020	273.710419	329.156799	
0.001450	286.830430	354.101545	314.774658	333.489655	
0.001540	286.894578	364.035983	280.062073	353.198853	
0.001630	285.940948	362.476098	308.543152	347.172180	
0.001720	286.671535	363.635400	264.964996	360.430420	
0.001810	285.839097	363.049197	288.533508	387.284180	
0.001900	286.274720	359.009379	285.114258	349.535980	
0.001990	284.833564	360.517094	308.444824	328.575043	
0.002080	286.000716	369.863588	279.342926	336.978149	
0.002170	286.231413	364.220383	284.976410	326.679535	
0.002260	287.115736	371.812219	287.842529	342.825745	
0.002350	286.999234	363.872255	274.549194	364.119415	
0.002440	285.453233	371.234265	280.459442	347.456940	
0.002530	283.632680	374.333132	280.054077	353.522522	
0.002620	288.240115	367.630073	290.687378	362.541138	
0.002710	287.046509	362.324700	277.424133	364.146851	
0.002800	288.514515	366.247136	277.268616	325.586304	
0.002890	290.256774	380.453125	282.467377	363.563538	
0.002980	290.560705	370.876195	265.242981	347.470428	
0.003070	287.372797	371.193962	278.797211	315.041565	
0.003160	289.006916	384.657378	321.908386	379.661194	
0.003250	289.173462	368.906349	286.112305	363.087616	
0.003340	291.970632	371.253191	313.612549	365.814392	
0.003430	291.241653	366.024842	284.572021	326.296722	
0.003520	289.435544	384.498498	267.699158	357.957367	
0.003610	294.383297	407.607007	274.755951	375.755310	
0.003700	297.766738	376.366990	323.340393	312.801758	
0.003790	321.333188	400.882746	296.303314	346.860748	
0.003880	311.432411	422.074082	329.141235	377.583405	
0.003970	319.560167	388.272195	319.575989	339.776764	
0.004060	314.136513	368.821461	272.846863	323.758575	
0.004150	301.783327	370.138700	277.538513	317.919586	
0.004240	299.707920	374.246035	349.403412	339.697418	
0.004330	312.775739	395.944883	299.457764	307.865143	
0.004420	315.010436	375.849879	274.755951	308.306305	
0.004510	305.093624	364.055820	287.073303	339.278595	
0.004600	306.867536	365.960808	278.387146	355.835114	
0.004690	302.907681	366.162704	276.877533	325.931183	
0.004780	302.162654	358.585338	293.484314	348.502563	
0.004870	300.075637	380.351535	352.176453	394.611237	
0.004960	300.115111	366.991582	282.646637	321.595337	
0.005050	299.311246	362.404663	334.298553	324.117004	
0.005140	300.683987	396.318353	273.343384	384.138489	
0.005230	297.751941	362.881098	297.221008	362.944336	
0.005320	300.794593	373.774557	280.322510	378.074310	
0.005410	302.919342	379.665954	281.176361	305.355621	
0.005500	296.205423	397.336983	289.668762	390.364655	
0.005410	300.998698	411.924404	289.186951	458.028717	
0.005320	300.144757	378.471967	278.525269	349.768280	
0.005230	302.242240	406.671885	316.051086	389.017212	
0.005140	301.506122	383.490084	269.855042	371.692749	
0.005050	298.766490	369.050589	304.905609	325.570435	
0.004960	296.389235	374.647510	295.247498	305.641022	
0.004870	297.082393	408.057276	326.488922	390.896149	
0.004780	316.191960	364.521279	266.556610	321.267242	
0.004690	303.724263	387.424584	299.903442	326.171112	
0.004600	299.211042	369.712579	303.353699	365.202911	
0.004510	294.685765	379.356358	287.345886	324.334869	
0.004420	294.401858	368.083606	306.710876	308.547791	
0.004330	294.837698	364.869513	292.314850	334.114532	
0.004240	294.178425	355.071117	269.612823	301.539398	
0.004150	290.898164	368.519772	274.590027	310.205688	
0.004060	296.503630	368.961839	287.753510	380.821686	
0.003970	295.021831	372.047486	277.252441	313.869537	
0.003880	289.265981	363.763181	288.140930	335.609802	
0.003790	286.933016	365.734819	276.680359	310.481110	
0.003700	287.496102	369.133960	295.576080	302.671295	
0.003610	288.570924	371.370081	199.633057	293.552643	
0.003520	283.789325	361.468383	348.474243	322.281006	
0.003430	288.740534	419.381246	285.164307	369.790314	
0.003340	289.269321	358.002287	264.034027	301.036194	
0.003250	284.812359	374.480387	286.545593	296.131470	
0.003160	287.244338	372.227586	354.148132	301.996399	
0.003070	287.825516	357.792888	285.059113	305.542145	
0.002980	282.619773	372.278456	302.951233	294.131592	
0.002890	286.891121	358.906340	279.625702	294.895996	
0.002800	281.164001	366.389621	270.886841	305.436676	
0.002710	281.196375	355.047476	264.119476	300.024780	
0.002620	279.566515	364.770347	272.788666	309.457123	
0.002530	279.085698	360.191369	278.151581	291.566162	
0.002440	277.960522	364.594373	269.496613	302.988403	
0.002350	277.274152	373.159365	280.988983	302.662720	
0.002260	278.608737	376.995149	279.796356	321.101624	
0.002170	277.366461	370.968618	275.999481	299.156219	
0.002080	275.666573	367.785894	262.407166	293.298401	
0.001990	274.100153	374.504881	275.147705	298.647797	
